"reactor","day","temp","CH4_rate_g_dat_kg_vs0_Mean","CH4_rate_g_dat_kg_vs0_SD"
1,0,10,NA,NA
1,2,10,0.000357756852882071,NA
1,4,10,0.00156735919560682,NA
1,7,10,0.00308533286788077,NA
1,14,10,0.0022166473852519,NA
1,20,10,0.00179885714278539,NA
1,29,10,0.00158796274763614,NA
1,36,10,0.00185726758762944,NA
1,43,10,0.00250453501193765,NA
1,50,10,0.00233571120561685,NA
1,57,10,0.0050876767254693,NA
1,64,10,0.0129332335763284,NA
1,71,10,0.0502767131205141,NA
1,78,10,0.21698397521432,NA
1,85,10,0.83678298499337,NA
1,86,10,3.91625872169154,NA
1,88,10,1.75877946637175,NA
1,92,10,1.15581969660745,NA
2,0,10,NA,NA
2,2,10,4.76818387202762e-05,NA
2,4,10,0.00139015405369586,NA
2,7,10,0.00261734995036771,NA
2,14,10,0.00148664189129735,NA
2,20,10,0.00180658628438842,NA
2,29,10,0.00180736040783283,NA
2,36,10,0.00145237940741673,NA
2,43,10,0.00305337040959413,NA
2,50,10,0.00301325445621521,NA
2,57,10,0.00940839463468192,NA
2,64,10,0.0167402771020362,NA
2,71,10,0.0689700488106334,NA
2,78,10,0.354507945932592,NA
2,85,10,0.94443734986371,NA
2,86,10,7.39012396619366,NA
2,88,10,2.11816304075366,NA
2,92,10,4.80875552598773,NA
3,0,10,NA,NA
3,2,10,0,NA
3,4,10,0.00123414475467458,NA
3,7,10,0.00280926757482483,NA
3,14,10,0.00337112646243654,NA
3,20,10,0.00274690156744198,NA
3,29,10,0.00263949056017925,NA
3,36,10,0.00346558666646236,NA
3,43,10,0.00692311845130084,NA
3,50,10,0.00259945376955698,NA
3,57,10,0.00575063198899928,NA
3,64,10,0.0101152463162121,NA
3,71,10,0.0237898424933897,NA
3,78,10,0.135790598406287,NA
3,85,10,1.11208313304287,NA
3,86,10,3.32381352640817,NA
3,88,10,2.45280199977638,NA
3,92,10,1.42258291993682,NA
4,0,10,NA,NA
4,2,10,7.51508780152716e-05,NA
4,4,10,0.00136261376592067,NA
4,7,10,0.00284851678558666,NA
4,14,10,0.00188847077502413,NA
4,20,10,0.00207836818549059,NA
4,29,10,0.00163941299666744,NA
4,36,10,0.00273423613385671,NA
4,43,10,0.00735065675614208,NA
4,50,10,0.00453568958407162,NA
4,57,10,0.0181127384605448,NA
4,64,10,0.0403606027900412,NA
4,71,10,0.173836368372822,NA
4,78,10,0.692196824062645,NA
4,85,10,1.43351490365341,NA
4,86,10,2.25968377595714,NA
4,88,10,1.43616240374536,NA
4,92,10,1.11850745601233,NA
5,0,15,NA,NA
5,2,15,0.00107940110772028,NA
5,4,15,0.005068684698912,NA
5,7,15,0.00823563207402963,NA
5,14,15,0.028910677284647,NA
5,20,15,0.015931991321598,NA
5,29,15,0.0145379581258612,NA
5,36,15,0.0236497769512249,NA
5,43,15,0.346580308453656,NA
5,50,15,0.739015221603834,NA
5,57,15,0.481968377910717,NA
5,64,15,0.0975916085844069,NA
5,71,15,0.181682668503305,NA
5,78,15,1.69939661180156,NA
5,85,15,0.707970351722154,NA
5,86,15,3.18997037207122,NA
5,88,15,2.0754213937206,NA
5,92,15,1.45487161415774,NA
6,0,15,NA,NA
6,2,15,8.60324041615556e-05,NA
6,4,15,0.0154529445676717,NA
6,7,15,0.00926050544161598,NA
6,14,15,0.0383810092231138,NA
6,20,15,0.0221160335568862,NA
6,29,15,0.0224697991428095,NA
6,36,15,0.0245225745762504,NA
6,43,15,0.342918481100493,NA
6,50,15,0.521910514861981,NA
6,57,15,0.377235738183747,NA
6,64,15,0.114814732382143,NA
6,71,15,0.110173585659248,NA
6,78,15,0.655548390089818,NA
6,85,15,0.587855266873915,NA
6,86,15,4.94625811005766,NA
6,88,15,1.66516915804967,NA
6,92,15,1.16715804434667,NA
7,0,15,NA,NA
7,2,15,8.81466564408246e-05,NA
7,4,15,0.00523674698058586,NA
7,7,15,0.00568656317805193,NA
7,14,15,0.0166573359367994,NA
7,20,15,0.0090412573294309,NA
7,29,15,0.009006867695505,NA
7,36,15,0.0108451106886651,NA
7,43,15,0.192413594798605,NA
7,50,15,1.12856603786612,NA
7,57,15,0.423800460397477,NA
7,64,15,0.100680735829247,NA
7,71,15,0.0833672974591489,NA
7,78,15,0.169769653198075,NA
7,85,15,0.446463800776311,NA
7,86,15,2.54264915226381,NA
7,88,15,2.58706973876627,NA
7,92,15,1.2130882042891,NA
8,0,15,NA,NA
8,2,15,0.000114368420895669,NA
8,4,15,0.00956787118588501,NA
8,7,15,0.00587138491431859,NA
8,14,15,0.0447266120794329,NA
8,20,15,0.0116954523746916,NA
8,29,15,0.0323882323815235,NA
8,36,15,0.00804146283481295,NA
8,43,15,0.389610969761589,NA
8,50,15,1.55980937220141,NA
8,57,15,0.440389606751695,NA
8,64,15,0.19366297418002,NA
8,71,15,0.720207376846067,NA
8,78,15,1.14494947695037,NA
8,85,15,1.17842079112799,NA
8,86,15,3.94227270686163,NA
8,88,15,2.24457038159783,NA
8,92,15,1.52294903008242,NA
9,0,20,NA,NA
9,2,20,0.0125908427575353,NA
9,4,20,0.0247683412624567,NA
9,7,20,0.120831439762422,NA
9,14,20,0.049029811363685,NA
9,20,20,0.965007387838554,NA
9,29,20,0.74452562691908,NA
9,36,20,0.582084006237713,NA
9,43,20,1.05212266555545,NA
9,50,20,1.52034460755649,NA
9,57,20,1.09090810935274,NA
9,64,20,0.948120647222364,NA
9,71,20,0.646114804290584,NA
9,78,20,0.332155375007506,NA
9,85,20,0.303724530919417,NA
9,86,20,4.97525422532767,NA
9,88,20,2.17827899825247,NA
9,92,20,3.07747656376148,NA
10,0,20,NA,NA
10,2,20,0.0053665825509746,NA
10,4,20,0.0185452131659895,NA
10,7,20,0.133522384017825,NA
10,14,20,0.0478712766635608,NA
10,20,20,0.81014451244052,NA
10,29,20,0.911894430555584,NA
10,36,20,0.263108248415207,NA
10,43,20,0.701916765668406,NA
10,50,20,0.699945267863503,NA
10,57,20,0.949234905417512,NA
10,64,20,1.54552683359961,NA
10,71,20,2.20277628308756,NA
10,78,20,0.694675205047979,NA
10,85,20,1.55717692944158,NA
10,86,20,3.89491578518014,NA
10,88,20,4.36775819362927,NA
10,92,20,2.41555275249683,NA
11,0,20,NA,NA
11,2,20,0.0314556455119608,NA
11,4,20,0.0332198904271122,NA
11,7,20,0.146227076979143,NA
11,14,20,0.0641913692017218,NA
11,20,20,0.1792830862192,NA
11,29,20,1.03843298676542,NA
11,36,20,0.722267288348012,NA
11,43,20,0.881106740988009,NA
11,50,20,1.31088123019674,NA
11,57,20,0.701249917836998,NA
11,64,20,1.95399813365008,NA
11,71,20,1.30928429461946,NA
11,78,20,1.47814469917901,NA
11,85,20,0.229102529862968,NA
11,86,20,4.64257299049949,NA
11,88,20,2.20731615259764,NA
11,92,20,4.09376351321225,NA
12,0,20,NA,NA
12,2,20,0.0145512029668084,NA
12,4,20,0.0343628309500272,NA
12,7,20,0.123997394195165,NA
12,14,20,0.0693068441512301,NA
12,20,20,0.995095482369478,NA
12,29,20,0.580840909401403,NA
12,36,20,0.363352760650019,NA
12,43,20,0.894222327949247,NA
12,50,20,1.79756650626153,NA
12,57,20,1.47572609033665,NA
12,64,20,1.68831998765799,NA
12,71,20,1.1026484959718,NA
12,78,20,0.28694717348148,NA
12,85,20,0.625190100524496,NA
12,86,20,6.12528602684898,NA
12,88,20,2.52527290838745,NA
12,92,20,2.54177005971462,NA
13,0,25,NA,NA
13,2,25,0.120182560681134,NA
13,4,25,0.198203056838089,NA
13,7,25,0.137912138616583,NA
13,14,25,6.75956681961948,NA
13,20,25,0.584618444442545,NA
13,29,25,1.86828611596499,NA
13,36,25,1.03564883222981,NA
13,43,25,1.02721252968517,NA
13,50,25,0.985584828723221,NA
13,57,25,0.897277921770619,NA
13,64,25,1.18579770035153,NA
13,71,25,1.03660026214861,NA
13,78,25,0.696853711044852,NA
13,85,25,0.512009542596708,NA
13,86,25,19.0588684904412,NA
13,88,25,5.36025734957623,NA
13,92,25,5.33207084282397,NA
14,0,25,NA,NA
14,2,25,0.24931277997083,NA
14,4,25,0.155133882883094,NA
14,7,25,0.0737509720948901,NA
14,14,25,3.89578807935503,NA
14,20,25,0.436515372355265,NA
14,29,25,2.1399672211735,NA
14,36,25,1.1756220981076,NA
14,43,25,0.618866308523553,NA
14,50,25,0.833972997549609,NA
14,57,25,0.855616382718986,NA
14,64,25,0.78073933748051,NA
14,71,25,1.29890200433539,NA
14,78,25,1.09916564731733,NA
14,85,25,0.466565110096339,NA
14,86,25,5.90520097167239,NA
14,88,25,3.54252916824395,NA
14,92,25,4.2269090683159,NA
15,0,25,NA,NA
15,2,25,0.0451598361731013,NA
15,4,25,0.182657085101745,NA
15,7,25,0.108038429155284,NA
15,14,25,6.69593819522885,NA
15,20,25,0.80122953326958,NA
15,29,25,0.943903949198818,NA
15,36,25,0.879288982454021,NA
15,43,25,0.582675771326809,NA
15,50,25,1.02159605064858,NA
15,57,25,0.97455099012957,NA
15,64,25,0.958465721660354,NA
15,71,25,1.54973756034493,NA
15,78,25,1.06851497149283,NA
15,85,25,0.427325390784349,NA
15,86,25,11.4059975979773,NA
15,88,25,3.59009943766655,NA
15,92,25,3.18627265796386,NA
16,0,25,NA,NA
16,2,25,0.0457129320597249,NA
16,4,25,0.0741851707367832,NA
16,7,25,0.0839206041324499,NA
16,14,25,3.63338352201922,NA
16,20,25,0.445728895970934,NA
16,29,25,2.19178428661364,NA
16,36,25,1.0119088288382,NA
16,43,25,2.38628043436276,NA
16,50,25,1.28484141238826,NA
16,57,25,0.974610548383678,NA
16,64,25,0.589596909674401,NA
16,71,25,0.914751539109581,NA
16,78,25,0.923894415298962,NA
16,85,25,0.642911089525427,NA
16,86,25,5.6967899106054,NA
16,88,25,4.30260804446783,NA
16,92,25,3.26651613675416,NA
